Timestamp	Bar plot 1	Bar plot 2	Bar plot 3	Bar plot 4	Bar plot 5	Shifted Bar plot 1	Shifted Bar plot 2	Shifted Bar plot 3	Shifted Bar plot 4	Shifted Bar plot 5	Circle plot 1	Circle plot 2	Circle plot 3	Circle plot 4	Circle plot 5	Pie chart 1	Pie chart 2	Pie chart 3	Pie chart 4	Pie chart 5	Color chart 1	Color chart 2	Color chart 3	Color chart 4	Color chart 5
4/20/2016 10:52:24	9	66	15	80	55	60	15	95	17	99	70	20	96	10	25	70	33	95	6	99	95	20	10	3	76
4/20/2016 11:20:47	10	60	25	80	65	60	20	90	30	90	80	25	90	15	35	75	30	80	5	100	100	50	35	20	85
4/20/2016 11:21:32	10	75	20	80	60	70	15	95	20	100	75	25	90	10	33	70	20	100	3	100	100	80	40	10	90
4/20/2016 11:21:51	10	60	20	80	50	55	20	90	25	100	80	20	90	10	20	60	20	65	5	100	100	100	100	100	100
4/20/2016 11:22:08	10	65	20	80	55	60	15	90	20	95	75	30	80	10	35	75	25	90	5	100	100		20	5	80
4/20/2016 11:22:10	10	60	20	85	55	55	15	100	20	100	80	15	90	5	15	75	20	90	5	100	100	100	100	100	100
4/20/2016 11:22:26	10	75	25	80	60	60	10	80	20	90	80	25	90	10	30	75	25	80	5	100	100	70	30	10	90
4/20/2016 11:22:28	10	60	30	70	50	50	10	80	30	100	60	20	80	10	30	70	20	80	5	100	100	50	20	10	80
4/20/2016 11:22:30	10	70	30	33	60	70	10	90	25	98	80	20	90	10	30	60	20	100	1	100	100	70	10	1	90
4/20/2016 11:22:40	10	70	20	80	60	60	15	90	20	100	50	30	90	10	25	75	20	90	5	100	100	50	25	0	90
4/20/2016 11:22:44	10	60	20	80	55	60	15	90	20	100	80	30	95	10	20	23	10	30	2	33	100	50	30	10	80
4/20/2016 11:22:47	10	70	20	85	55	55	15	90	20	100	80	10	95	5	15	90	20	95	1	100	100	75	50	15	100
4/20/2016 11:23:15	10	70	15	80	60	60	15	90	20	100	70	15	95	5	13	80	33	90	5	100	100	80	40	5	95
4/20/2016 11:23:17	8	60	20	85	55	60	20	85	15	95	80	25	85	5	10	90	20	100	5	100	100	66	33	5	75
4/20/2016 11:23:23	10	70	20	80	17	60	10	90	15	100	75	20	90	10	25	50	20	80	5	100	100	80	30	15	90
